id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
03030405,5414.0,2.0,135.0,2226.0,1098.0,1312.0,534.0,855.0,21961.0,4019.0,1337.0,3996.0,5382.0,864.0,933.0,35.0,62.0,70.0,438.0,3002.0,4448.0
03030406,3657.0,34.0,235.0,556.0,940.0,965.0,555.0,2927.0,17014.0,3833.0,2854.0,3756.0,3559.0,2498.0,2863.0,243.0,429.0,486.0,113.0,464.0,575.0
03030711,3310.0,334.0,130.0,456.0,826.0,773.0,511.0,2199.0,14396.0,3186.0,2461.0,3092.0,2970.0,2223.0,2485.0,164.0,284.0,328.0,74.0,324.0,419.0
03030715,3879.0,387.0,332.0,851.0,894.0,799.0,387.0,1808.0,15305.0,3316.0,2028.0,3199.0,3593.0,1734.0,1992.0,129.0,222.0,258.0,165.0,985.0,1601.0
03030716,512.0,1.0,4.0,50.0,147.0,177.0,94.0,286.0,2482.0,511.0,484.0,504.0,506.0,464.0,469.0,18.0,29.0,36.0,2.0,5.0,6.0
03040508,2028.0,3.0,167.0,454.0,585.0,405.0,285.0,1009.0,8783.0,1962.0,1120.0,1951.0,2016.0,900.0,1086.0,64.0,116.0,128.0,156.0,749.0,988.0
03040512,5248.0,50.0,452.0,1670.0,1790.0,748.0,321.0,1747.0,20537.0,4241.0,1505.0,4142.0,5141.0,926.0,1178.0,97.0,180.0,194.0,482.0,2784.0,4021.0
03040513,1453.0,25.0,118.0,322.0,363.0,352.0,140.0,1104.0,6383.0,1452.0,730.0,1435.0,1436.0,583.0,751.0,55.0,101.0,110.0,92.0,583.0,743.0
03040614,19848.0,463.0,3567.0,7097.0,5771.0,2320.0,427.0,1616.0,67750.0,14483.0,2347.0,14184.0,19386.0,452.0,591.0,67.0,133.0,134.0,1828.0,13461.0,18800.0
03040818,20038.0,478.0,2557.0,8149.0,6624.0,1989.0,189.0,395.0,68009.0,13163.0,1997.0,12983.0,19789.0,60.0,71.0,15.0,33.0,30.0,1922.0,12878.0,19699.0
03050919,2997.0,9.0,92.0,1652.0,896.0,260.0,58.0,233.0,10614.0,1887.0,544.0,1857.0,2966.0,151.0,173.0,29.0,47.0,58.0,364.0,1637.0,2757.0
03050920,4008.0,64.0,522.0,1765.0,1130.0,393.0,98.0,266.0,13742.0,2854.0,566.0,2823.0,3956.0,117.0,145.0,23.0,44.0,46.0,426.0,2634.0,3793.0
03050923,5512.0,194.0,1078.0,2464.0,1279.0,375.0,81.0,317.0,17536.0,3795.0,535.0,3680.0,5352.0,55.0,75.0,20.0,36.0,40.0,460.0,3569.0,5257.0
03050924,3451.0,102.0,651.0,1439.0,898.0,267.0,50.0,384.0,11332.0,2438.0,407.0,2313.0,3267.0,43.0,55.0,17.0,31.0,34.0,347.0,2227.0,3190.0
03050925,5123.0,76.0,789.0,1973.0,1603.0,544.0,92.0,342.0,17599.0,3670.0,606.0,3594.0,5030.0,62.0,85.0,15.0,25.0,30.0,529.0,3485.0,4938.0
03051017,2062.0,53.0,379.0,645.0,587.0,247.0,101.0,392.0,7327.0,1565.0,557.0,1478.0,1883.0,375.0,427.0,14.0,23.0,28.0,168.0,1027.0,1480.0
03051021,4085.0,5.0,606.0,1580.0,1453.0,377.0,38.0,205.0,14087.0,2487.0,440.0,2465.0,4068.0,60.0,66.0,11.0,19.0,22.0,369.0,2381.0,3986.0
03051022,2457.0,35.0,341.0,621.0,848.0,544.0,56.0,98.0,9126.0,1654.0,256.0,1649.0,2451.0,9.0,11.0,0.0,0.0,0.0,247.0,1638.0,2442.0
03061126,9344.0,548.0,2421.0,3525.0,2106.0,518.0,152.0,595.0,28486.0,6451.0,572.0,6297.0,9145.0,24.0,35.0,6.0,20.0,12.0,542.0,6241.0,9109.0
03061131,6197.0,391.0,1706.0,2360.0,1217.0,375.0,105.0,333.0,18589.0,4249.0,354.0,4195.0,6139.0,2.0,3.0,2.0,4.0,4.0,350.0,4188.0,6133.0
03061227,8696.0,384.0,1744.0,4024.0,1968.0,435.0,108.0,263.0,26902.0,5787.0,678.0,5703.0,8584.0,3.0,3.0,4.0,12.0,8.0,671.0,5688.0,8573.0
03061228,7920.0,190.0,2197.0,3081.0,2096.0,283.0,44.0,229.0,24119.0,4690.0,752.0,4630.0,7825.0,0.0,0.0,0.0,0.0,0.0,752.0,4630.0,7825.0
03061332,13375.0,924.0,3941.0,4743.0,2696.0,756.0,246.0,556.0,39631.0,9393.0,779.0,9108.0,12997.0,5.0,3.0,6.0,8.0,12.0,768.0,9096.0,12980.0
03061429,5950.0,14.0,1009.0,1829.0,2398.0,668.0,19.0,92.0,20657.0,3583.0,301.0,3531.0,5852.0,0.0,0.0,0.0,0.0,0.0,301.0,3531.0,5852.0
03061430,1657.0,105.0,125.0,401.0,714.0,232.0,46.0,272.0,6122.0,1050.0,296.0,1023.0,1548.0,135.0,158.0,25.0,46.0,50.0,136.0,818.0,1363.0
03061434,3829.0,26.0,683.0,1930.0,845.0,254.0,57.0,309.0,12483.0,2462.0,358.0,2462.0,3829.0,5.0,7.0,0.0,0.0,0.0,353.0,2455.0,3824.0
03061435,2401.0,158.0,472.0,855.0,725.0,167.0,17.0,55.0,7559.0,1425.0,158.0,1363.0,2314.0,0.0,0.0,0.0,0.0,0.0,158.0,1363.0,2314.0
03061441,994.0,28.0,150.0,393.0,134.0,126.0,100.0,468.0,3741.0,1061.0,328.0,1050.0,988.0,279.0,429.0,2.0,3.0,4.0,47.0,618.0,705.0
03071536,6237.0,300.0,1356.0,2287.0,1447.0,574.0,144.0,980.0,20375.0,4764.0,499.0,4621.0,6054.0,12.0,14.0,12.0,23.0,24.0,475.0,4584.0,6018.0
03071537,9064.0,380.0,1955.0,3213.0,2354.0,806.0,229.0,999.0,29748.0,7065.0,663.0,6810.0,8746.0,5.0,8.0,3.0,7.0,6.0,655.0,6795.0,8735.0
03071633,1851.0,11.0,580.0,514.0,421.0,232.0,88.0,44.0,6129.0,1201.0,59.0,1201.0,1851.0,0.0,0.0,0.0,0.0,0.0,59.0,1201.0,1851.0
03071638,9873.0,691.0,2488.0,3107.0,2434.0,902.0,202.0,380.0,30826.0,7161.0,540.0,7006.0,9701.0,5.0,4.0,5.0,11.0,10.0,530.0,6992.0,9686.0
03071639,7010.0,379.0,1424.0,2749.0,1499.0,705.0,182.0,555.0,22642.0,5322.0,523.0,5253.0,6919.0,62.0,103.0,1.0,4.0,2.0,460.0,5146.0,6855.0
04010102,287.0,2.0,11.0,88.0,81.0,47.0,22.0,329.0,1308.0,343.0,225.0,329.0,274.0,193.0,263.0,22.0,33.0,44.0,10.0,33.0,37.0
04010103,3849.0,1.0,562.0,1571.0,1347.0,351.0,2.0,107.0,13100.0,2488.0,182.0,2481.0,3842.0,0.0,0.0,0.0,0.0,0.0,182.0,2481.0,3842.0
04020204,71.0,2.0,15.0,6.0,10.0,11.0,27.0,0.0,307.0,70.0,10.0,57.0,53.0,0.0,0.0,1.0,2.0,2.0,9.0,54.0,51.0
04020205,617.0,7.0,34.0,119.0,201.0,104.0,75.0,632.0,2838.0,640.0,272.0,633.0,607.0,134.0,211.0,51.0,102.0,102.0,87.0,320.0,371.0
04020206,1714.0,5.0,125.0,544.0,758.0,191.0,48.0,344.0,6506.0,1392.0,116.0,1392.0,1714.0,51.0,67.0,5.0,11.0,10.0,60.0,1314.0,1653.0
04020207,1558.0,106.0,313.0,461.0,368.0,127.0,83.0,804.0,5524.0,1313.0,327.0,1292.0,1517.0,170.0,281.0,17.0,40.0,34.0,140.0,970.0,1313.0
04020208,1373.0,124.0,132.0,199.0,295.0,220.0,134.0,2263.0,6332.0,1622.0,593.0,1580.0,1317.0,474.0,788.0,21.0,55.0,42.0,98.0,737.0,801.0
04020209,1170.0,94.0,79.0,115.0,145.0,151.0,189.0,3166.0,6232.0,1408.0,782.0,1278.0,946.0,669.0,1024.0,84.0,161.0,168.0,29.0,93.0,109.0
04020310,317.0,107.0,85.0,61.0,44.0,11.0,5.0,37.0,758.0,185.0,62.0,100.0,108.0,54.0,56.0,1.0,2.0,2.0,7.0,41.0,52.0
04020311,8503.0,773.0,1217.0,2286.0,2044.0,1191.0,527.0,3817.0,31175.0,7074.0,932.0,6792.0,7903.0,189.0,391.0,44.0,115.0,88.0,699.0,6286.0,7626.0
04020312,2889.0,118.0,468.0,886.0,731.0,372.0,150.0,1407.0,10803.0,2551.0,536.0,2452.0,2751.0,166.0,320.0,60.0,166.0,120.0,310.0,1965.0,2465.0
04020313,3960.0,60.0,571.0,1493.0,1224.0,407.0,127.0,588.0,13962.0,2924.0,309.0,2848.0,3880.0,1.0,1.0,1.0,5.0,2.0,307.0,2843.0,3877.0
04020314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04030415,1877.0,198.0,898.0,363.0,302.0,60.0,29.0,236.0,5001.0,1142.0,81.0,1031.0,1601.0,3.0,3.0,3.0,5.0,6.0,75.0,1024.0,1592.0
04030416,5222.0,363.0,1005.0,1838.0,1445.0,449.0,88.0,286.0,16726.0,3638.0,423.0,3556.0,5004.0,9.0,11.0,2.0,5.0,4.0,412.0,3541.0,4991.0
04030417,6016.0,142.0,1108.0,2183.0,1667.0,649.0,181.0,686.0,20592.0,4587.0,393.0,4424.0,5886.0,10.0,13.0,6.0,11.0,12.0,377.0,4400.0,5864.0
04030518,5506.0,139.0,987.0,2292.0,1418.0,485.0,142.0,395.0,18333.0,3693.0,402.0,3514.0,5221.0,1.0,1.0,1.0,2.0,2.0,400.0,3512.0,5218.0
04030519,3287.0,100.0,569.0,1417.0,912.0,224.0,59.0,47.0,10658.0,2332.0,227.0,2289.0,3243.0,7.0,4.0,1.0,2.0,2.0,219.0,2283.0,3234.0
04030620,4941.0,182.0,1200.0,1882.0,1060.0,462.0,91.0,505.0,15829.0,3416.0,303.0,3278.0,4713.0,13.0,15.0,1.0,1.0,2.0,289.0,3262.0,4698.0
04030621,2112.0,254.0,606.0,878.0,270.0,85.0,15.0,35.0,5730.0,1424.0,115.0,1356.0,1985.0,1.0,0.0,1.0,2.0,2.0,113.0,1354.0,1982.0
